"COLLECTION_ID","DATASET_ID","GRANULE_FLAG","START_GRANULE_ID","STOP_GRANULE_ID"
"69","109","A","",""
"70","120","A","",""
"71","114","A","",""
"72","113","A","",""
"73","115","A","",""
"73","116","A","",""
"74","123","A","",""
"75","117","A","",""
"76","122","A","",""
"77","112","A","",""
"78","124","A","",""
"79","107","A","",""
"80","108","A","",""
"81","121","A","",""
"82","111","A","",""
"83","89","A","",""
"84","90","A","",""
"85","91","A","",""
"86","92","A","",""
"87","93","A","",""
"88","94","A","",""
"89","96","A","",""
"90","97","A","",""
"91","95","A","",""
"92","98","A","",""
"93","105","A","",""
"94","119","A","",""
"95","110","A","",""
"96","118","A","",""
"97","101","A","",""
"98","102","A","",""
"99","114","A","",""
"99","115","A","",""
"99","116","A","",""
"100","99","A","",""
"101","100","A","",""
"102","99","A","",""
"102","100","A","",""
"104","103","A","",""
"107","125","A","",""
"107","135","A","",""
"107","142","A","",""
"108","126","A","",""
"108","136","A","",""
"108","143","A","",""
"109","127","A","",""
"109","137","A","",""
"109","144","A","",""
"110","128","A","",""
"110","138","A","",""
"110","145","A","",""
"111","129","A","",""
"111","139","A","",""
"111","146","A","",""
"112","130","A","",""
"112","140","A","",""
"112","147","A","",""
"113","106","A","",""
"114","132","A","",""
"114","133","A","",""
"118","134","A","",""
"118","149","A","",""
"124","152","A","",""
"125","151","A","",""
"128","150","A","",""
"129","164","A","",""
"132","153","A","",""
"133","154","A","",""
"134","155","A","",""
"135","156","A","",""
"136","157","A","",""
"137","158","A","",""
"138","159","A","",""
"139","160","A","",""
"140","162","A","",""
"141","131","A","",""
"141","141","A","",""
"141","148","A","",""
"142","163","A","",""
"146","167","A","",""
"147","168","A","",""
"148","166","A","",""
"149","165","A","",""
"150","161","A","",""
"166","104","A","",""
"167","169","A","",""
"168","170","A","",""
"2","1","A","",""
"1","1","A","",""
"3","2","A","",""
"1","2","A","",""
"4","18","A","",""
"1","18","A","",""
"5","5","A","",""
"1","5","A","",""
"6","6","A","",""
"1","6","A","",""
"7","7","A","",""
"1","7","A","",""
"8","8","A","",""
"1","8","A","",""
"9","9","A","",""
"1","9","A","",""
"10","11","A","",""
"1","11","A","",""
"11","28","A","",""
"1","28","A","",""
"12","29","A","",""
"1","29","A","",""
"13","30","A","",""
"1","30","A","",""
"14","38","A","",""
"1","38","A","",""
"15","41","A","",""
"1","41","A","",""
"16","19","A","",""
"1","19","A","",""
"17","22","A","",""
"1","22","A","",""
"18","20","A","",""
"1","20","A","",""
"17","21","A","",""
"1","21","A","",""
"19","23","A","",""
"1","23","A","",""
"20","26","A","",""
"1","26","A","",""
"21","27","A","",""
"1","27","A","",""
"22","10","A","",""
"1","10","A","",""
"23","12","A","",""
"1","12","A","",""
"24","14","A","",""
"1","14","A","",""
"25","15","A","",""
"1","15","A","",""
"26","17","A","",""
"1","17","A","",""
"27","31","A","",""
"1","31","A","",""
"28","32","A","",""
"1","32","A","",""
"29","33","A","",""
"1","33","A","",""
"30","13","A","",""
"1","13","A","",""
"31","16","A","",""
"1","16","A","",""
"32","24","A","",""
"1","24","A","",""
"33","25","A","",""
"1","25","A","",""
"34","3","A","",""
"1","3","A","",""
"35","4","A","",""
"1","4","A","",""
"36","40","A","",""
"1","40","A","",""
"37","39","A","",""
"1","39","A","",""
"1","34","A","",""
"38","35","A","",""
"1","35","A","",""
"1","43","A","",""
"1","37","A","",""
"1","36","A","",""
"39","42","A","",""
"1","42","A","",""
"1","44","A","",""
"182","218","A","",""
"181","218","A","",""
"183","219","A","",""
"181","219","A","",""
"41","45","A","",""
"40","45","A","",""
"42","46","A","",""
"40","46","A","",""
"40","47","A","",""
"40","48","A","",""
"43","47","A","",""
"43","48","A","",""
"44","49","A","",""
"40","49","A","",""
"45","50","A","",""
"40","50","A","",""
"46","51","A","",""
"40","51","A","",""
"47","52","A","",""
"40","52","A","",""
"48","53","A","",""
"40","53","A","",""
"49","54","A","",""
"40","54","A","",""
"50","55","A","",""
"40","55","A","",""
"51","56","A","",""
"40","56","A","",""
"52","57","A","",""
"40","57","A","",""
"53","58","A","",""
"40","58","A","",""
"54","59","A","",""
"40","59","A","",""
"55","60","A","",""
"40","60","A","",""
"56","61","A","",""
"40","61","A","",""
"57","62","A","",""
"57","63","A","",""
"57","64","A","",""
"57","65","A","",""
"57","66","A","",""
"57","67","A","",""
"57","68","A","",""
"57","69","A","",""
"57","70","A","",""
"57","71","A","",""
"57","72","A","",""
"57","73","A","",""
"59","74","A","",""
"58","74","A","",""
"60","75","A","",""
"58","75","A","",""
"61","76","A","",""
"58","76","A","",""
"62","77","A","",""
"58","77","A","",""
"63","78","A","",""
"58","78","A","",""
"58","79","A","",""
"64","80","A","",""
"58","80","A","",""
"58","81","A","",""
"65","82","A","",""
"58","82","A","",""
"58","83","A","",""
"66","84","A","",""
"58","84","A","",""
"58","85","A","",""
"67","86","A","",""
"58","86","A","",""
"58","87","A","",""
"68","88","A","",""
"58","88","A","",""
"103","171","A","",""
"105","172","A","",""
"106","173","A","",""
"115","174","A","",""
"116","175","A","",""
"117","176","A","",""
"119","177","A","",""
"120","178","A","",""
"121","179","A","",""
"122","180","A","",""
"123","181","A","",""
"126","182","A","",""
"127","183","A","",""
"130","184","A","",""
"131","185","A","",""
"143","186","A","",""
"144","187","A","",""
"145","188","A","",""
"151","189","A","",""
"152","190","A","",""
"153","191","A","",""
"154","192","A","",""
"155","193","A","",""
"156","194","A","",""
"157","195","A","",""
"158","196","A","",""
"159","197","A","",""
"160","198","A","",""
"161","199","A","",""
"162","200","A","",""
"163","201","A","",""
"164","202","A","",""
"165","203","A","",""
