"DATASET_ID","PROVIDER_ID","SHORT_NAME","LONG_NAME","ORIGINAL_PROVIDER","PROVIDER_DATASET_NAME","PROCESSING_LEVEL","REGION","REGION_DETAIL","LATITUDE_RESOLUTION","LONGITUDE_RESOLUTION","HORIZONTAL_RESOLUTION_RANGE","ALTITUDE_RESOLUTION","DEPTH_RESOLUTION","TEMPORAL_RESOLUTION","TEMPORAL_RESOLUTION_RANGE","ELLIPSOID_TYPE","PROJECTION_TYPE","PROJECTION_DETAIL","REFERENCE"
"41","5","EUR-L2P-TMI","L2P Sea Surface Temperature (SST-sub-skin) from gridded Tropical Rainfall MApping Mission (TRMM) Microwave Imager (TMI)  Remote Sensing Systems BMAPS","Remote Sensing Systems (REMSS)","TMI-EUR-L2P","2P","Atlantic Ocean","Tropical and mid-latitude section of the Medspiration EU-RDAC area including par","25.00","25.00","none","0.00","none","Revisit ~twice each day","none","none","Gridded 25km SSTsub-skin data","Low earth orbit satellite coinfiguration","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"39","13","REMSS-L2P-TMI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin observations from the TRMM Microwave Radiometer","Remote Sensing Systems","REMSS-L2P-TMI","2P","Tropical Ocean","none","25.00","25.00","none","0.00","none","none","none","none","Swath","Satellite native swath Geolocation information included for each pixel","http://www.ssmi.com/tmi/tmi_description.html"
"40","13","REMSS-L2P_GRIDDED_25-TMI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin observations from the TRMM Microwave Radiometer","Remote Sensing Systems","TMI-REMSS-L2P_GRIDDED_25","3","Tropical Ocean","none",".225",".225","none","0.00","none","none","none","none","Gridded","25 km","http://www.ssmi.com/tmi/tmi_description.html"
"42","7","UKMO-L4HRfnd-GLOB-OSTIA","Foundation Sea Surface Temperature L4 analysis from the UK Met Office, daily at 0.05 degree resolution.","UK Met Office","OSTIA","4","Global Ocean","none",".054",".054","none","none","none","Daily mean.","none","none","Cylindrical Lat-Lon","Regular 0.05 degree grid.","none"
"12","9","NAVO-L2P-AVHRR17_L","Bulk Sea Surface Temperature from the NOAA-17 POES Advanced Very High Resolution Radiometer, 2.2 km resolution, regional coverage, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR17_L","2P","Global Ocean","none","2.2","2.2","none","none","none","Revisit determined by recorder scheduling","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"13","10","NEODAAS-L2P-AVHRR17_L","GHRSST L2P Sea surface temperature from AVHRR","PML","NEODAAS-L2P-AVHRR17_L","2P","Northeast Atlantic and Europe","none","1.1","1.1","none","none","none","Revisit four times each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information about the AVHRR processing system at NEODAAS can be found at: http://www.npm.ac.uk/rsdas/faq/ and in this conference paper: Miller P, Groom S, McManus A, Selley J and Mironnet N. (1997) PANORAMA: a semi-automated AVHRR and CZCS system for observation of coastal and ocean processes. RSS97: Observations and Interactions, In: Proceedings of the Remote Sensing Society, pp 539-544, Reading, September 1997. (http://www.npm.ac.uk/papers/miller_rss97/)."
"14","9","NAVO-L2P-AVHRR18_G","Bulk Sea Surface Temperature from the NOAA-18 POES Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR18_G","2P","Global Ocean","none","8.8","8.8","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"15","9","NAVO-L2P-AVHRR18_L","Bulk Sea Surface Temperature from the NOAA-18 POES Advanced Very High Resolution Radiometer, 2.2 km resolution, regional coverage, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR18_L","2P","Global Ocean","none","2.2","2.2","none","none","none","Revisit determined by recorder scheduling","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"16","10","NEODAAS-L2P-AVHRR18_L","GHRSST L2P Sea surface temperature from AVHRR","PML","NEODAAS-L2P-AVHRR18_L","2P","Northeast Atlantic and Europe","none","1.1 km","1.1 km","none","none","none","Revisit four times each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information about the AVHRR processing system at NEODAAS can be found at: http://www.npm.ac.uk/rsdas/faq/ and in this conference paper: Miller P, Groom S, McManus A, Selley J and Mironnet N. (1997) PANORAMA: a semi-automated AVHRR and CZCS system for observation of coastal and ocean processes. RSS97: Observations and Interactions, In: Proceedings of the Remote Sensing Society, pp 539-544, Reading, September 1997. (http://www.npm.ac.uk/papers/miller_rss97/)."
"17","9","NAVO-L2P-AVHRRMTA_G","Bulk Sea Surface Temperature from the METOP-A Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2007, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRRMTA_G","2P","Global Ocean","none","8.8","8.8","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"18","2","DMI-L4UHfnd-NSEABALTIC-DMI_OI","GHRSST L4 Foundation Sea Surface Temperature analysis for the North Sea and Baltic Sea","Danish Meteorological Institute","NSEABALTIC-DMI_OI","4","North Sea and Baltic Sea","none","0.03","0.03","none","none","none","One field per day","none","none","Cylindrical Lat-Lon","Regular in latitude and longitude","Information on the analysis can be found at http://ocean.dmi.dk/satellite"
"19","5","EUR-L4HRfnd-GLOB-ODYSSEA","ODYSSEA Global High Resolution Foundation Sea Surface Temperature Analysis, daily, 10km resolution","IFREMER/CERSAT","EUR-L4HRFnd-GLOB-ODYSSEA","4","Global Ocean","none","0.1","0.1","none","none","none","daily","none","none","Isolat-Isolong Grid","Geolocation information included for each pixel","MERSEA-WP02-IFR-STR-001-1A, J. F. Piolle,E. Autret, Septembre 2007"
"20","5","EUR-L4UHRfnd-GAL-ODYSSEA","Analysed L4 foundation sea surface temperature over Galapagos and Pacific Central America","IFREMER","EUR-L4UHRfnd-GAL-ODYSSEA","4","Galapagos and Central America","Pacific ocean restricted to Central America, Galapagos and Coco Islands area","0.02","0.02","none","0.00","none","Daily","none","none","Grid","latitude longitude gridded analysis field","MERSEA-WP02-IFR-STR-001-1A, J. F. Piolle,E. Autret, Septembre 2007"
"21","5","EUR-L4UHRfnd-MED-ODYSSEA","Analysed L4 foundation sea surface temperature over Mediterranean Sea","IFREMER","EUR-L4UHRfnd-MED-ODYSSEA","4","Mediterranean Sea","Mediterranean and Black Sea",".02",".02","none","0.00","none","Daily","none","none","Grid","latitude longitude gridded analysis field","MERSEA-WP02-IFR-STR-001-1A, J. F. Piolle,E. Autret, Septembre 2007"
"22","5","EUR-L4UHFnd-MED-v01","Analysed L4 foundation sea surface temperature over Mediterranean Sea","IFREMER","L4UHFnd","4","Mediterranean Sea","Mediterranean, Baltic and Black Sea",".02",".02","none","0.00","none","Daily","none","none","Grid","latitude longitude gridded analysis field","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"23","5","EUR-L4UHRfnd-NWE-ODYSSEA","Analysed L4 foundation sea surface temperature over North-Western European shelves","IFREMER","EUR-L4UHRfnd-NWE-ODYSSEA","4","North-West Europe","North-Western Europe shelves","0.02","0.02","none","0.00","none","Daily","none","none","Grid","latitude longitude gridded analysis field","MERSEA-WP02-IFR-STR-001-1A, J. F. Piolle,E. Autret, Septembre 2007"
"24","6","OSDPD-L2P-GOES11","Sea Surface Temperature, 180W-110W and 60N-45S, at 0.05 degree resolution from GOES-11 Imager","NOAA/NESDIS","GOES11","2P","Pacific Ocean","Central/Eastern Pacific","4.6","4.2","none","0.00","none","30 minutes","none","none","Raw satellite projection / two vertical cells blended","","GOES-SST Programmers Reference Manual"
"25","6","OSDPD-L2P-GOES12","Sea Surface Temperature, 30W-135W and 65N-50S, at 0.05 degree resolution from GOES-12 Imager","NOAA/NESDIS","GOES12","2P","Atlantic Ocean","Atlantic and Eastern South Pacific","4.6","4.2","none","0.00","none","30 minutes","none","none","Raw satellite projection / two vertical cells blended","","GOES-SST Programmers Reference Manual"
"26","15","JPL-L2P-MODIS_A","GHRSST L2P Skin Sea Surface Temperature from the Moderate Resolution Imaging Spectroradiometer (MODIS) on the NASA Aqua satellite","Jet Propulsion Laboratory","MODIS_A","2P","Global Ocean","none","1.0","1.0","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information on the the MODIS SST algorithm can be found in the following documents: http://modis.gsfc.nasa.gov/data/atbd/atbd_mod25.pdf and http://oceancolor.gsfc.nasa.gov/DOCS/modis_sst/"
"27","15","JPL-L2P-MODIS_T","GHRSST L2P Skin Sea Surface Temperature from the Moderate Resolution Imaging Spectroradiometer (MODIS) on the NASA Terra satellite","Jet Propulsion Laboratory","MODIS_T","2P","Global Ocean","none","1.0","1.0","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information on the the MODIS SST algorithm can be found in the following documents: http://modis.gsfc.nasa.gov/data/atbd/atbd_mod25.pdf and http://oceancolor.gsfc.nasa.gov/DOCS/modis_sst/"
"28","5","EUR-L2P-NAR16_SST","L2P EUMETSAT-Ocean and Sea Ice Satellite Application Facility (OSI-SAF) Near Atlantic Regional (NAR) Sea Surface Temperature (SST-sub-skin) derived for seven separate areas at 2 km resolution every 6 hours","Medspiration Meteo-France/Centre de Meteorologie Spatiale (CMS)","SEVIRI-L2P","2P","Atlantic Ocean","none","2.0","2.0","none","0.00","none","12 hourly","none","equatorial radius: 6378.388 km; polar radius: 6356.912 km","Polar stereographic 2km","Polar stereographic projection defined with an elliptical earth (equatorial radius: 6378.388 km; polar radius: 6356.912 km), y axis is meridian 0.","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"29","5","EUR-L2P-NAR17_SST","L2P EUMETSAT-Ocean and Sea Ice Satellite Application Facility (OSI-SAF) Near Atlantic Regional (NAR) Sea Surface Temperature (SST-sub-skin) derived for seven separate areas at 2 km resolution every 6 hours","Medspiration Meteo-France/Centre de Meteorologie Spatiale (CMS)","SEVIRI-L2P","2P","Atlantic Ocean","none","2.0","2.0","none","0.00","none","12 hourly","none","equatorial radius: 6378.388 km; polar radius: 6356.912 km","Polar stereographic 2km","Polar stereographic projection defined with an elliptical earth (equatorial radius: 6378.388 km; polar radius: 6356.912 km), y axis is meridian 0.","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"4","13","REMSS-L2P_GRIDDED_25-AMSRE","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin observations from the AQUA Advanced Scanning Microwave Radiometer - Earth  Observing System (AMSR-E)","Remote Sensing Systems","AMSRE-REMSS-L2P_GRIDDED_25","3","Global Ocean","none",".225",".225","none","0.00","none","revisit ~twice each day (night and daytime passes)","none","none","Gridded","25 km","http://www.ssmi.com/tmi/tmi_description.html"
"5","5","EUR-L2P-AMSRE","L2P Sea Surface Temperature (SST-sub-skin) from gridded AQUA-AMSRE Remote Sensing Systems BMAPS","Remote Sensing Systems (REMSS)","AMSRE-EUR-L2P","2P","Atlantic Ocean","Medspiration EU-RDAC area including Atantic Ocean, Mediterranean, Baltic and Bla","25.0","25.0","none","0.00","none","Revisit ~twice each day (night and daytime passes)","none","none","Gridded 25km SSTsub-skin data","None","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"6","5","EUR-L2P-ATS_NR_2P","GHRSST-PP L2P Sea Surface Temperature SSTskin observations from the ENVISAT Advanced Along Track Scanning Radiometer (AATSR)","European Space Agency (ESA). ESRIN, Frascati Italy see http://www.esa.int","AATSR-L2P","2P","Atlantic Ocean","Atlantic Ocean coverage defined by the Medspiration RDAC area, including Mediter","1.0","1.0","none","0.00","none","revisit ~once every 2-3 days night and daytime passes in a 35 day near polar sun synchronous orbit","none","none","satellite native swath","Geolocation information included for each pixel","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"7","5","EUR-L2P-AVHRR16_G","Multi Channel SST (MCSST) GAC, MCSST Level 2 (NAVOCEANO) orbital 9km for 100W - 45E and 90N - 70S,  from NOAA-16 AVHRR/2","Jet Propulsion Laboratory Physical Oceanography Data Active Archive Centre (PO.DAAC)","AVHRR16_G","2P","Atlantic Ocean","Medspiration EU-RDAC area including Atantic Ocean, Mediterranean, Baltic and Bla","9.0","9.0","none","0.00","none","Daily","none","none","Satellite native swath along-track","Satellite swath data with latitude and longitude for each pixel measurement","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"8","5","EUR-L2P-AVHRR16_L","NAVOCEANO Multichannel sea surface temperature  2.2km data (MCSST) for 100W - 45E and 90N - 70S, from NOAA-16 AVHRR/2","Jet Propulsion Laboratory Physical Oceanography Data Active Archive Centre (PO.DAAC)","AVHRR16_L","2P","Atlantic Ocean","Medspiration EU-RDAC area including Atantic Ocean, Mediterranean, Baltic and Bla","2.2","2.2","none","0.00","none","Several overpasses per day in the Medspiration EU-RDAC area","none","none","Satellite native swath along-track","Satellite swath data with latitude and longitude for each pixel measurement","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"109","1","HALPERN ATLAS","x-MONTHLY MEAN GLOBAL SURFACE OCEAN VARIABLES 1987-1993 (HALPERN ET AL.)","NASA/JPL/PODAAC","MONTHLY MEAN GLOBAL SURFACE OCEAN VARIABLES 1987-1993 (HALPERN ET AL.)","3","Global Ocean","none",".33",".33","none","none","none","1 Month","none","none","Gridded","none","ftp://podaac.jpl.nasa.gov/pub/documents/dataset_docs/halpern_atlas.html"
"9","5","EUR-L2P-AVHRR17_G","Multi Channel SST (MCSST) GAC, MCSST Level 2 (NAVOCEANO) orbital 9km for 100W - 45E and 90N - 70S,  from NOAA-17 AVHRR/2","Jet Propulsion Laboratory Physical Oceanography Data Active Archive Centre (PO.DAAC)","AVHRR17_G","2P","Atlantic Ocean","Medspiration EU-RDAC area including Atantic Ocean, Mediterranean, Baltic and Bla","9.0","9.0","none","0.00","none","daily","none","none","Satellite native swath along-track","Satellite swath data with latitude and longitude for each pixel meas 
urement","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"10","9","NAVO-L2P-AVHRR17_G","Bulk Sea Surface Temperature from the NOAA-17 POES Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR17_G","2P","Global Ocean","none","8.8","8.8","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"11","5","EUR-L2P-AVHRR17_L","NAVOCEANO Multichannel sea surface temperature  2.2km data (MCSST) for 100W - 45E and 90N - 70S, from NOAA-17 AVHRR/2","Jet Propulsion Laboratory Physical Oceanography Data Active Archive Centre (PO.DAAC)","AVHRR17_L","2P","Atlantic Ocean","Medspiration EU-RDAC area including Atantic Ocean, Mediterranean, Baltic and Bla","2.2","2.2","none","0.00","none","Several overpasses per day in the Medspiration EU-RDAC area","none","none","Satellite native swath along-track","Satellite swath data with latitude and longitude for each pixel measurement","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"35","13","REMSS-L4HRfnd-GLOB-mw_ir_OI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin optimum interpolated observations from the AQUA AMSR-E, AQUA MODIS, and TRMM TMI","Remote Sensing Systems","L4HRfnd-GLOB-mw_ir_OI","4","Global Ocean","none","0.081",".081","none","0.00","none","Daily","none","none","Gridded",".081","http://www.remss.com/sst/microwave_oi_sst_data_description.html"
"36","13","REMSS-L4HRfnd-GLOB-tmi_OI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin optimum interpolated observations from the TRMM TMI","Remote Sensing Systems","L4HRfnd-GLOB-tmi_OI","4","Global Ocean","","25.00 km","25.00 km","","0.00","","Daily","","","Gridded","25km","http://www.remss.com/sst/microwave_oi_sst_data_description.html"
"37","13","REMSS-L4HRfnd-GLOB-tmi_amsre_OI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin optimum interpolated observations from the AQUA AMSR-E and TRMM TMI","Remote Sensing Systems","L4HRfnd-GLOB-tmi_amsre_OI","4","Global Ocean","","25.00 km","25.00 km","","0.00","","Daily","","","Gridded","25km","http://www.remss.com/sst/microwave_oi_sst_data_description.html"
"38","5","EUR-L2P-SEVIRI_SST","Sea Surface Temperature (SST-sub-skin) Low and Mid Latitudes (LML), 100W - 45E and 60N - 60S, at 0.1 degree resolution from MSG SEVIRI","Medspiration Meteo-France/Centre de Meteorologie Spatiale (CMS)","SEVIRI-L2P","2P","Atlantic Ocean","Low and Mid Latitudes (LML) defined by the SEVIRI footprint, including Mediterra","11.16","11.16","none","0.00","none","3 hourly","none","none","Gridded 0.1 degree data based on linear scaling in latitude and longitude","Conversion of the pixel coordinates into the latitude and longitude of the pixel center:Latitude = 60. - 0.1 (line - 1); Longitude = -100. + 0.1 (column - 1)","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"45","1","JASON-1_ATG_SSHA","Jason-1 Along Track Gridded (ATG) Sea Surface Height Anomaly (SSHA)","NASA/JPL/PODAAC","none","2","Global Ocean","none","3.7","4.5","none","none","none","1 second","none","none","Gridded Swath","none","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/j1_atg/doc/along_track_gridded_manual_v2.html"
"46","16","JASON-1_AUX","Jason-1 Auxiliary Data","Jason-1 NASA","JASON_1_AUX","1","Global","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","none"
"47","16","JASON-1_GDR_CNES","Jason-1 Geophysical Data Record (GDR) CNES","Jason-1 CNES","Jason-1 Geophysical Data Record (GDR) CNES","2","Global","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr_c/doc/Handbook_Jason_v4-1.pdf"
"48","16","JASON-1_GDR_NASA","Jason-1 Geophysical Data Record (GDR) NASA","Jason-1 NASA","JASON_1_GDR","2","Global","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr_c/doc/Handbook_Jason_v4-1.pdf"
"49","16","JASON-1_GDR_NETCDF","Jason-1 Geophysical Data Record (GDR) NetCDF","Jason-1 CNES","","2","Global Ocean","","0.0001 decimal degrees","0.05 decimal degrees","","","","10 days","","","","",""
"50","16","JASON-1_GDR_SSHA_NETCDF","Jason-1 Geophysical Data Record (GDR) Sea Surface Height Anomaly (SSHA) NetCDF","Jason-1 CNES","","2","Global Ocean","","0.0001 decimal degrees","0.05 decimal degrees","","","","10 days","","","","",""
"51","16","JASON-1_IGDR","Jason-1 Interim Geophysical Data Record (IGDR)","Jason-1 CNES","Jason-1 Interim Geophysical Data Record (IGDR)","2","Global","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr_c/doc/Handbook_Jason_v4-1.pdf"
