"DATASET_ID","CATEGORY","TOPIC","TERM","VARIABLE","VARIABLE_DETAIL"
"130","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Surface Wind Velocity"
"131","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","Ancillary"
"132","EARTH_SCIENCE","Atmosphere","Atmospheric Water Vapor","Water Vapor","Columnar Water Vapor"
"133","EARTH_SCIENCE","Atmosphere","Atmospheric Water Vapor","Precipitable Water","Columnar Liquid Water"
"153","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","ANCILLARY","Ancillary Data"
"154","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Telemetry Data","Subsetted Raw Telemetry Data"
"156","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","ENGINEERING PARAMETERS","ENGINEERING UNITS"
"161","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"172","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Speed"
"91","Earth Science","Oceans","Ocean Winds","SURFACE WINDS","none"
"94","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Surface Winds","none"
"102","EARTH_SCIENCE","Oceans","Ocean winds","Sigma-0","none"
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"89","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING PARAMETERS",""
"90","Earth Science","Oceans","Ocean Winds","Sigma-0","none"
"90","Earth Science","Oceans","Ocean Winds","Sigma-0","none"
"91","Earth Science","Oceans","Ocean Winds","SURFACE WINDS","none"
"91","Earth Science","Oceans","Ocean Winds","SURFACE WINDS","none"
"91","Earth Science","Oceans","Ocean Winds","SURFACE WINDS","none"
"92","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","ENGINEERING PARAMETERS","Engineering Units"
"93","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Sigma-0","none"
"94","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Surface Winds","none"
"95","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING PARAMETERS",""
"96","EARTH_SCIENCE","UNKNOWN","UNKNOWN","BRIGHTNESS TEMPERATURE",""
"97","EARTH_SCIENCE","UNKNOWN","UNKNOWN","PRECIPITATION RATE",""
"97","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"97","EARTH_SCIENCE","UNKNOWN","UNKNOWN","CLOUD LIQUID WATER/ICE",""
"97","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HUMIDITY",""
"97","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"98","EARTH_SCIENCE","UNKNOWN","UNKNOWN","RADIANCE",""
"99","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"100","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"100","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"101","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WAVEFORM",""
"101","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING PARAMETERS",""
"102","EARTH_SCIENCE","Oceans","Ocean winds","Sigma-0","none"
"102","EARTH_SCIENCE","Oceans","Ocean winds","Sigma-0","none"
"102","EARTH_SCIENCE","Oceans","Ocean winds","Sigma-0","none"
"102","EARTH_SCIENCE","Oceans","Ocean winds","Sigma-0","none"
"103","EARTH_SCIENCE","Oceans","Ocean waves","SIGNIFICANT WAVE HEIGHT","none"
"103","EARTH_SCIENCE","Oceans","Ocean waves","SIGNIFICANT WAVE HEIGHT","none"
"103","EARTH_SCIENCE","Oceans","Ocean waves","SIGNIFICANT WAVE HEIGHT","none"
"103","EARTH_SCIENCE","Oceans","Ocean waves","SIGNIFICANT WAVE HEIGHT","none"
"103","EARTH_SCIENCE","Oceans","Ocean waves","SIGNIFICANT WAVE HEIGHT","none"
"104","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING PARAMETERS",""
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"105","EARTH_SCIENCE","Oceans","Ocean Winds","SURFACE WINDS","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"106","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"107","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"107","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"107","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"107","EARTH_SCIENCE","Oceans","Ocean Winds","SIGMA NAUGHT","none"
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGNIFICANT WAVE HEIGHT",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ATMOSPHERIC PRESSURE MEASUREMENTS",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WAVE PERIOD",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WAVE SPECTRA",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","AIR TEMPERATURE",""
"108","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"109","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","none"
"109","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","none"
"109","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","none"
"109","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","none"
"109","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","none"
"110","EARTH_SCIENCE","Atmosphere","Clouds","Cloud Liquid Water/Ice","Columnar Liquid Water"
"110","EARTH_SCIENCE","Atmosphere","Clouds","Cloud Liquid Water/Ice","Columnar Liquid Water"
"110","EARTH_SCIENCE","Atmosphere","Clouds","Cloud Liquid Water/Ice","Columnar Liquid Water"
"111","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SOLAR IRRADIANCE",""
"111","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HEAT FLUX",""
"112","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HUMIDITY",""
"113","EARTH_SCIENCE","Atmosphere","Atmospheric Radiation","HEAT FLUX","Latent and Sensible Heat Flux"
"113","EARTH_SCIENCE","Atmosphere","Atmospheric Radiation","HEAT FLUX","Latent and Sensible Heat Flux"
"114","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HEAT FLUX",""
"114","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WIND STRESS",""
"115","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","Surface Wind","10 Meter Ocean Surface Wind Velocity"
"116","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","Surface Wind","10 Meter Ocean Surface Wind Velocity"
"117","EARTH_SCIENCE","UNKNOWN","UNKNOWN","BRIGHTNESS TEMPERATURE",""
"117","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"118","EARTH_SCIENCE","Oceans","Ocean Wind","SIGMA-0","Sigma-0"
"119","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","SURFACE WINDS","10 Meter Ocean Surface Wind Velocity"
"120","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","SURFACE WINDS","10 Meter Ocean Surface Wind Velocity"
"121","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","SURFACE WINDS","10 Meter Ocean Surface Wind Velocity"
"122","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","SURFACE WINDS","10 Meter Ocean Surface Wind Velocity"
"123","EARTH_SCIENCE","Atmosphere","Atmospheric Wind","SURFACE WINDS","10 Meter Ocean Surface Wind Velocity"
"124","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HUMIDITY",""
"125","Earth Science","Atmosphere","Atmospheric Winds","Telemetry Data","Raw Telemetry Data"
"126","Earth Science","Atmosphere","Atmospheric Winds","ENGINEERING PARAMETERS","Engineering Units"
"127","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","Sigma-0"
"128","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","Sigma-0"
"129","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Surface Wind Velocity"
"130","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Surface Wind Velocity"
"132","EARTH_SCIENCE","Atmosphere","Atmospheric Water Vapor","Water Vapor","Columnar Water Vapor"
"133","EARTH_SCIENCE","Atmosphere","Atmospheric Water Vapor","Precipitable Water","Columnar Liquid Water"
"134","Earth Science","Atmosphere","Atmospheric Winds","Surface Winds","10 Meter Ocean Surface Wind Direction"
"135","EARTH_SCIENCE","UNKNOWN","UNKNOWN","DATA NUMBER",""
"136","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING UNITS",""
"137","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"138","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"139","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"140","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"140","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"141","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ANCILLARY",""
"142","EARTH_SCIENCE","UNKNOWN","UNKNOWN","DATA NUMBER",""
"143","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ENGINEERING UNITS",""
"144","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"145","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"146","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"147","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"147","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"148","EARTH_SCIENCE","UNKNOWN","UNKNOWN","ANCILLARY",""
"149","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"150","EARTH_SCIENCE","UNKNOWN","UNKNOWN","BRIGHTNESS TEMPERATURE",""
"151","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"155","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Telemetry Data","Consolidated Raw Telemetry Data"
"157","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SIGMA-0","SIGMA-0"
"158","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"159","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"160","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Vector Components"
"162","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"173","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Speed"
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","CLOUD LIQUID WATER/ICE",""
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HUMIDITY",""
"175","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"177","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Speed"
"178","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"178","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WIND STRESS",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SALINITY",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SILICATE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","TRACE ELEMENTS",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","PHOSPHATE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WATER TEMPERATURE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","OXYGEN",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","NITRATE",""
"181","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"182","EARTH_SCIENCE","OCEANS","OCEAN TEMPERATURE","SEA SURFACE TEMPERATURE","none"
"183","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"185","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"185","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SALINITY",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SILICATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WATER TEMPERATURE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","NITRATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","TRACE ELEMENTS",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","PHOSPHATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","OXYGEN",""
"188","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"188","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"189","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"194","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"195","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"196","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"197","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"198","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"199","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"200","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"201","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"202","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"203","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"1","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature"
"2","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature"
"3","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature"
"4","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature"
"5","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature (SSTsub-skin)"
"6","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Skin Sea Surface Temperature"
"7","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"8","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"9","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"10","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"11","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"12","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"13","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"14","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
